,timestamp,eda,eda_filtered
0,10.0,9.51732844890766,7.791493337148122
1,30.0,9.396877641153838,7.965135604077819
2,50.0,9.276426833400015,8.129635341316988
3,70.0,9.002237776743705,8.285015781628502
4,90.0,9.002237776743705,8.431128893195243
5,110.0,9.259286492118646,8.567811954162334
6,130.0,9.256514148534574,8.694624589695424
7,150.0,9.45698764832621,8.811903216491944
8,170.0,9.081714424941255,8.919358292484914
9,190.0,8.88992179942944,9.016957046728631
10,210.0,9.471766621626866,9.104694416987442
11,230.0,9.168021106421573,9.182993944546642
12,250.0,9.602802276397155,9.251762729703335
13,270.0,9.51732844890766,9.311157841917733
14,290.0,9.168021106421573,9.36167772219463
15,310.0,9.365455691305014,9.40292241847069
16,330.0,9.268117086818423,9.435852213898015
17,350.0,9.339614215673315,9.460327690180623
18,370.0,9.701497799168594,9.476756149112688
19,390.0,9.315771229365243,9.485563349147137
20,410.0,9.17092599620851,9.487354041526146
21,430.0,9.047028269975353,9.482197679696014
22,450.0,9.494933202291836,9.470558595586413
23,470.0,9.002237776743705,9.452945301494529
24,490.0,9.062522623899293,9.429747883701662
25,510.0,9.502141173147395,9.401474631300875
26,530.0,9.198395657942102,9.368671005604059
27,550.0,9.212784526226375,9.331545899404992
28,570.0,9.494148331529267,9.290860841785449
29,590.0,9.339614215673315,9.246847271088317
30,610.0,9.168021106421573,9.199982730458132
31,630.0,9.266271511558182,9.150650815919212
32,650.0,8.841973643051485,9.09939905524935
33,670.0,8.841973643051485,9.046812035234355
34,690.0,8.968849415557825,8.992885805884379
35,710.0,9.173734024799371,8.938539100797092
36,730.0,8.71323056351136,8.883574983543514
37,750.0,9.235166236128777,8.828785536830464
38,770.0,9.176449956877546,8.774155173235604
39,790.0,8.97309884334512,8.720483760854517
40,810.0,8.9444457029678,8.667631368403867
41,830.0,9.130758539179277,8.615889380782008
42,850.0,8.906282812666563,8.565718549396463
43,870.0,8.841973643051485,8.517214182697114
44,890.0,8.975527087795001,8.470472979625374
45,910.0,8.686957180490237,8.425673071938586
46,930.0,9.002237776743705,8.383451212398947
47,950.0,8.769586081174932,8.343212675554502
48,970.0,8.885682043149364,8.30521732804628
49,990.0,8.955494071083475,8.269854316351296
50,1010.0,8.64211550574206,8.236993264350774
51,1030.0,8.82403570060044,8.20664592520704
52,1050.0,8.908750365423243,8.178925265475101
53,1070.0,8.854283763422876,8.153765174541256
54,1090.0,8.699875219037008,8.130862760654054
55,1110.0,8.969557433065868,8.11061404579983
56,1130.0,9.08512944158264,8.09287345150917
57,1150.0,8.862006659763013,8.077263378082085
58,1170.0,8.995560104506529,8.06393492524841
59,1190.0,8.946493730242063,8.052476173798357
60,1210.0,8.977826752789023,8.043545877303972
61,1230.0,8.550196962016823,8.036090278814369
62,1250.0,8.815448490230152,8.030436015466654
63,1270.0,8.64782079921613,8.026612304070435
64,1290.0,8.686957180490237,8.024359609377466
65,1310.0,8.686957180490237,8.023214762828701
66,1330.0,8.82175410445654,8.02360672176633
67,1350.0,9.168021106421573,8.024812590240149
68,1370.0,8.686957180490237,8.027178097778755
69,1390.0,8.646188313662906,8.0303358295529
70,1410.0,8.481538192641553,8.034011249716508
71,1430.0,8.595190849219739,8.038612255175137
72,1450.0,8.841973643051485,8.043532542074612
73,1470.0,8.841973643051485,8.048605727107466
74,1490.0,8.686957180490237,8.053886048900262
75,1510.0,8.803219527411173,8.059329405339083
76,1530.0,8.54943628517983,8.064963199876647
77,1550.0,8.841973643051485,8.070333227463781
78,1570.0,8.78291214456738,8.075593015214775
79,1590.0,8.602161687729671,8.080759439394354
80,1610.0,8.536934385606157,8.08558677984687
81,1630.0,8.536934385606157,8.090015619808298
82,1650.0,8.577849693301815,8.094040425250231
83,1670.0,8.532892939603725,8.097566358861183
84,1690.0,8.613134731732117,8.100723627438889
85,1710.0,8.880854283403476,8.103332451189077
86,1730.0,8.66195338134289,8.105742064347016
87,1750.0,8.669560149712822,8.107366438417506
88,1770.0,8.743326803239782,8.108508460021715
89,1790.0,8.488512052223356,8.109058091801835
90,1810.0,8.988882432269353,8.109536834373767
91,1830.0,8.719009625616502,8.109044681153556
92,1850.0,8.769586081174932,8.108185181431386
93,1870.0,8.961114220710645,8.106926623353498
94,1890.0,8.686957180490237,8.105280517553876
95,1910.0,8.60403969547026,8.103380081940275
96,1930.0,8.935461054371947,8.101157208154802
97,1950.0,8.564665227192096,8.102633179545789
98,1970.0,8.70934787894482,8.098082204745294
99,1990.0,8.64320053198238,8.093843093451067
100,2010.0,8.49731611283841,8.089831534224677
101,2030.0,8.686957180490237,8.085818782926905
102,2050.0,8.630698632408707,8.081941561192853
103,2070.0,8.391667385457755,8.078077623486312
104,2090.0,8.700436872886868,8.074589900859298
105,2110.0,8.83523379685317,8.070750812522832
106,2130.0,8.660866259640832,8.06756838229859
107,2150.0,8.396274511597284,8.064759207839513
108,2170.0,8.411245918396613,8.061368396979672
109,2190.0,8.80281657717377,8.059120323072943
110,2210.0,8.49903864643701,8.056523781741602
111,2230.0,8.841973643051485,8.054298727674421
112,2250.0,8.536934385606157,8.052583709712493
113,2270.0,8.791133766810598,8.051054108454153
114,2290.0,8.476406468877656,8.049921033287163
115,2310.0,8.70934787894482,8.04937797930568
116,2330.0,8.587774261847045,8.048501975564108
117,2350.0,8.414260264018827,8.048506533649029
118,2370.0,8.536934385606157,8.048689887039327
119,2390.0,8.642918185634057,8.049536177082246
120,2410.0,8.43875932704903,8.050456563002097
121,2430.0,8.727396257680128,8.05208567841595
122,2450.0,8.564211257403263,8.054235214535545
